Unnamed: 0,item_number,description,category,item_link,minifigs_link,color_link,Name,Hair Type,Is_Fantasy_Color,Is_Natural_Color
571,11255,"Minifigure, Hair Long with Curls (Judge's Peruke)","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=11255,https://www.bricklink.com/catalogItemIn.asp?P=11255&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=11255#T=C,White,Black-coded,False,True
568,11261,"Minifigure, Hair Long with Braided Front","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=11261,https://www.bricklink.com/catalogItemIn.asp?P=11261&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=11261#T=C,Dark Brown,Black-coded,False,True
729,11421pb01,"Minifigure, Hair Shaggy with Braided Beard with Silver Axe Shard and Dark Bluish Gray Pattern","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=11421pb01,https://www.bricklink.com/catalogItemIn.asp?P=11421pb01&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=11421pb01#T=C,Black,Black-coded,False,True
886,11423pb01,"Minifigure, Hair Spiked Braid and Beard with White Braids Pattern","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=11423pb01,https://www.bricklink.com/catalogItemIn.asp?P=11423pb01&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=11423pb01#T=C,Light Bluish Gray,Black-coded,False,False
856,11906,"Minifigure, Hair Small Braids and Fan Shaped Ponytail","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=11906,https://www.bricklink.com/catalogItemIn.asp?P=11906&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=11906#T=C,Light Bluish Gray,Black-coded,False,False
373,13198pb01,"Minifigure, Hair Female Ponytail Long Braided with Gold Hair Clips Pattern","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=13198pb01,https://www.bricklink.com/catalogItemIn.asp?P=13198pb01&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=13198pb01#T=C,Dark Brown,Black-coded,False,True
537,13753pb01,"Minifigure, Hair Long Braided with White Ties and Dark Brown Braids","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=13753pb01,https://www.bricklink.com/catalogItemIn.asp?P=13753pb01&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=13753pb01#T=C,Dark Bluish Gray,Black-coded,False,False
821,15443,"Minifigure, Hair Short with 2 Locks on Left Side","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=15443,https://www.bricklink.com/catalogItemIn.asp?P=15443&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=15443#T=C,Black,Black-coded,False,True
822,15443,"Minifigure, Hair Short with 2 Locks on Left Side","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=15443,https://www.bricklink.com/catalogItemIn.asp?P=15443&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=15443#T=C,Dark Brown,Black-coded,False,True
823,15443,"Minifigure, Hair Short with 2 Locks on Left Side","Minifigure, Hair",https://bricklink.com/v2/catalog/catalogitem.page?P=15443,https://www.bricklink.com/catalogItemIn.asp?P=15443&in=M,https://bricklink.com/v2/catalog/catalogitem.page?P=15443#T=C,Medium Nougat,Black-coded,False,False
